metric,permutation_scheme,n_independent_units,n_samples,mean_unit_delta,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_greater,permutation_p_two_sided,permutation_null_mean,cohens_dz,hedges_g,wilcoxon_p_two_sided,wilcoxon_p_greater,sample_weighted_mean_same,sample_weighted_mean_different,n_valid_samples,directed_same_comparisons,directed_different_comparisons,dataset,analysis_order,pca_explained_variance,primary_fdr_q_two_sided,video_centered_mean_delta,video_centered_p_two_sided,leave_one_video_out_min_delta,leave_one_video_out_max_delta,age_sex_adjusted_mean_delta,age_sex_adjusted_p_two_sided
cosine,within_unit,15,45,0.5636495667703936,0.450168356993313,0.6835923708712767,0.0001999600079984,0.0001999600079984,-0.0003225990227683,4.979009721878053,4.707427373411977,6.103515625e-05,3.0517578125e-05,0.3547199847757812,-0.2089295819946124,45,630.0,1260.0,WESAD,1,"[0.20320087691247757, 0.11439973580664031, 0.08616708692195758, 0.06728029462409939, 0.053311464526433636, 0.043505070453202364, 0.038010427434194, 0.029997308475380215]",,,,,,,
cosine,within_unit,30,330,0.0200143549423793,0.0030958560765303,0.0382140903902617,0.0001999600079984,0.0001999600079984,-0.0002516863162835,0.8026491676496518,0.7817104937109652,8.856505155563354e-05,4.428252577781677e-05,-0.0038290653985926,-0.0146478488164756,330,25048.0,70652.0,CASE,2,"[0.14467055043254895, 0.08843323119822372, 0.074666507249383, 0.06177741688110776, 0.05180594164202284, 0.04341514700291296, 0.040870100564593385, 0.03314315990637658]",0.0005998800239952,-0.0043221779832819,0.1698301698301698,0.0024991081585157,0.0269216184730659,,
cosine,global,7491,7491,0.1172019258576077,0.1109180663821661,0.1237535026452562,0.0001999600079984,0.0001999600079984,1.2512273623685357e-06,0.7856223096198345,0.7855436398735526,0.0,0.0,0.1016207441115482,-0.0123770014095442,7491,11422790.0,44684800.0,PTB-XL,3,"[0.19151491098043766, 0.1050214564884035, 0.05584477874384614, 0.055459549331090124, 0.03958548671062075, 0.03738684097275171, 0.02965911403927253, 0.027960825365483135]",,,,,,0.1093823679921331,0.0009990009990009
