metric,permutation_scheme,n_independent_units,n_samples,mean_unit_delta,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_greater,permutation_p_two_sided,permutation_null_mean,cohens_dz,hedges_g,wilcoxon_p_two_sided,wilcoxon_p_greater,sample_weighted_mean_same,sample_weighted_mean_different,n_valid_samples,directed_same_comparisons,directed_different_comparisons,dataset,analysis,analysis_order,pca_explained_variance,primary_fdr_q_two_sided,video_centered_mean_delta,video_centered_p_two_sided,leave_one_video_out_min_delta,leave_one_video_out_max_delta,case_source_sampling_rate_hz,case_analysis_sampling_rate_hz,case_preprocessing_mode,case_feature_cache_version
cosine,within_unit,15,45,0.5636495667703936,0.450168356993313,0.6835923708712767,0.0001999600079984,0.0001999600079984,-0.0003225990227683,4.979009721878053,4.707427373411977,6.103515625e-05,3.0517578125e-05,0.3547199847757812,-0.2089295819946124,45,630.0,1260.0,WESAD,Cross-subject repeated-measures analysis,1,,,,,,,,,,
cosine,within_unit,30,330,0.0212369078229854,0.0024174178560073,0.0416001845617282,0.0001999600079984,0.0001999600079984,0.0001950979622676,0.8076591979672675,0.7865898275855127,4.968419671058655e-05,2.484209835529327e-05,-0.0105927880314169,-0.0249510208520549,330,25048.0,70652.0,CASE,,2,"[0.12318610965650352, 0.09264384018368296, 0.07584891283632536, 0.06061042669608908, 0.04931248568894553, 0.04789926961415497, 0.04418458780866582, 0.03611085743893356]",0.0005998800239952,-0.003271638294346,0.1768231768231768,0.0077971070149567,0.030056699692444,1000.0,1000.0,full_rate_no_subsampling,independent_v1_case_fullrate_1000hz_v3
cosine,global,7491,7491,0.1172019258576077,0.1109180663821661,0.1237535026452562,0.0001999600079984,0.0001999600079984,1.2512273623685357e-06,0.7856223096198345,0.7855436398735526,0.0,0.0,0.1016207441115482,-0.0123770014095442,7491,11422790.0,44684800.0,PTB-XL,One ECG per patient,3,,,,,,,,,,
