metric,permutation_scheme,n_independent_units,n_samples,mean_unit_delta,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_greater,permutation_p_two_sided,permutation_null_mean,cohens_dz,hedges_g,wilcoxon_p_two_sided,wilcoxon_p_greater,sample_weighted_mean_same,sample_weighted_mean_different,n_valid_samples,directed_same_comparisons,directed_different_comparisons,latent_dim,dataset
cosine,within_unit,30,330,0.02791454065096966,0.00015425327168183494,0.05857406531759432,0.000999000999000999,0.000999000999000999,0.0004351177748302136,0.6961678009014549,0.678006901747504,0.00018860027194023132,9.430013597011566e-05,-0.00458852756638719,-0.027125762291989965,330,25048.0,70652.0,4,CASE
correlation,within_unit,30,330,0.010961863843884322,-0.011883937849771781,0.03772777257470203,0.06293706293706294,0.11188811188811189,0.00306433265514495,0.37909490068350477,0.36920546849176117,0.052263347432017326,0.026131673716008663,-0.016987462014019208,-0.02485664032698982,330,25048.0,70652.0,4,CASE
neg_sqeuclidean,within_unit,30,330,3.098579208377359,-0.05027832801543393,6.724108624044121,0.000999000999000999,0.000999000999000999,-0.6023361186270874,0.44842613767384376,0.4367280645171348,0.012047622352838516,0.006023811176419258,-121.22816829861121,-121.57568718161494,330,25048.0,70652.0,4,CASE
cosine,within_unit,30,330,0.021236907822985488,0.0024244770406070815,0.04179289529873902,0.000999000999000999,0.000999000999000999,0.0002013602010088994,0.8076591979672675,0.7865898275855127,4.968419671058655e-05,2.4842098355293274e-05,-0.010592788031416906,-0.024951020852054903,330,25048.0,70652.0,8,CASE
correlation,within_unit,30,330,0.013039183382511999,-0.0011132720637471274,0.030406480630153148,0.000999000999000999,0.000999000999000999,0.00010839029123555272,0.6767156745813931,0.659062222201009,0.0009517744183540344,0.0004758872091770172,-0.01464734905399529,-0.02152612191321853,330,25048.0,70652.0,8,CASE
neg_sqeuclidean,within_unit,30,330,3.6016703486422603,0.5953266780481966,7.19958758745094,0.000999000999000999,0.000999000999000999,-0.7305849843430356,0.43444870134094726,0.42311525695813995,0.026228994131088257,0.013114497065544128,-183.66610109612284,-182.12681144064823,330,25048.0,70652.0,8,CASE
cosine,within_unit,30,330,0.022829081187584425,0.008690535963347458,0.037859867803748296,0.000999000999000999,0.000999000999000999,0.0006204330223485683,1.1805694846011603,1.149772019785478,9.98377799987793e-07,4.991888999938965e-07,-0.009272652990718937,-0.0264175579508033,330,25048.0,70652.0,16,CASE
correlation,within_unit,30,330,0.022940283411171467,0.010264027756071954,0.036909412849516036,0.000999000999000999,0.000999000999000999,0.0001562489840479348,1.304174041702016,1.2701521101793547,1.30385160446167e-07,6.51925802230835e-08,-0.009241165678530797,-0.026038298228677453,330,25048.0,70652.0,16,CASE
neg_sqeuclidean,within_unit,30,330,4.833810033838292,1.2424875664801338,8.79930452342265,0.000999000999000999,0.000999000999000999,-0.642167792411028,0.5032118661239889,0.49008460005118926,0.019660815596580505,0.009830407798290253,-250.56407365064342,-247.88311080405313,330,25048.0,70652.0,16,CASE
