target,n_samples,n_pairs,same_pairs,different_pairs,mean_same,mean_different,delta,cohen_d,permutation_p,mannwhitney_p
valence_arousal_quadrant,330,52635,15048,37587,0.019683902614674,-0.0028144446420814194,0.022498347256755417,0.05935746413803101,0.0001999600079984003,8.685122711078997e-10
arousal_bin,330,52635,26782,25853,0.012612781653623244,-0.0057006414135163256,0.01831342306713957,0.04853421047868992,0.0013997200559888023,1.3819936442468012e-08
valence_bin,330,52635,29165,23470,0.010605324106715263,-0.005065506680385623,0.015670830787100885,0.04158674914354148,0.010797840431913617,7.5448212770724545e-06
