metric,permutation_scheme,n_independent_units,n_samples,mean_unit_delta,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_greater,permutation_p_two_sided,permutation_null_mean,cohens_dz,hedges_g,wilcoxon_p_two_sided,wilcoxon_p_greater,sample_weighted_mean_same,sample_weighted_mean_different,n_valid_samples,directed_same_comparisons,directed_different_comparisons,latent_dim,dataset
cosine,within_unit,15,45,0.7894883097907811,0.6220896220724687,0.9427609422745932,0.000999000999000999,0.000999000999000999,-0.0027231520110494382,4.860613374262654,4.595489008393781,6.103515625e-05,3.0517578125e-05,0.5122091567424627,-0.27727915304831846,45,630.0,1260.0,4,WESAD
correlation,within_unit,15,45,0.8540243067909746,0.6301671093613491,1.0839955356816962,0.000999000999000999,0.000999000999000999,-0.0012981127276295277,3.626610874099676,3.428795735512421,6.103515625e-05,3.0517578125e-05,0.5541800097403927,-0.29984429705058196,45,630.0,1260.0,4,WESAD
neg_sqeuclidean,within_unit,15,45,182.51768089306958,152.00228705802138,215.76982648588674,0.000999000999000999,0.000999000999000999,0.785534683533539,5.873904668567901,5.5535098684641975,6.103515625e-05,3.0517578125e-05,-171.91166867455055,-354.4293495676202,45,630.0,1260.0,4,WESAD
cosine,within_unit,15,45,0.5636495667703936,0.4559949083475869,0.6770070134263866,0.000999000999000999,0.000999000999000999,-4.28171248307776e-05,4.979009721878053,4.707427373411977,6.103515625e-05,3.0517578125e-05,0.3547199847757812,-0.20892958199461245,45,630.0,1260.0,8,WESAD
correlation,within_unit,15,45,0.6134678365024945,0.49455907817246886,0.7428598783916888,0.000999000999000999,0.000999000999000999,0.0007698717792904346,4.995090510877637,4.72263102846613,6.103515625e-05,3.0517578125e-05,0.3911365015854732,-0.22233133491702142,45,630.0,1260.0,8,WESAD
neg_sqeuclidean,within_unit,15,45,184.93126211363352,153.49660889823136,218.87960309200267,0.000999000999000999,0.000999000999000999,0.49281799618792854,5.816979094457886,5.499689325669274,6.103515625e-05,3.0517578125e-05,-274.6645908659923,-459.5958529796258,45,630.0,1260.0,8,WESAD
cosine,within_unit,15,45,0.41271831751975546,0.33110744987250995,0.4925174823604208,0.000999000999000999,0.000999000999000999,-0.0005671966517238112,5.327298902148198,5.036718962031023,6.103515625e-05,3.0517578125e-05,0.2500515525829806,-0.16266676493677482,45,630.0,1260.0,16,WESAD
correlation,within_unit,15,45,0.43101860717862345,0.34263760870269666,0.5129152118176595,0.000999000999000999,0.000999000999000999,0.0011862014206146941,5.120197983464566,4.840914457093771,6.103515625e-05,3.0517578125e-05,0.26291005747836144,-0.1681085497002619,45,630.0,1260.0,16,WESAD
neg_sqeuclidean,within_unit,15,45,182.5150436846495,154.08953548806855,216.92949491915277,0.000999000999000999,0.000999000999000999,-0.25088716167872144,5.86922038249626,5.549081088905555,6.103515625e-05,3.0517578125e-05,-386.3602431608364,-568.8752868454861,45,630.0,1260.0,16,WESAD
