metric,permutation_scheme,n_independent_units,n_samples,mean_unit_delta,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_greater,permutation_p_two_sided,permutation_null_mean,cohens_dz,hedges_g,wilcoxon_p_two_sided,wilcoxon_p_greater,sample_weighted_mean_same,sample_weighted_mean_different,n_valid_samples,directed_same_comparisons,directed_different_comparisons,dataset,analysis,analysis_order,pca_explained_variance,primary_fdr_q_two_sided,video_centered_mean_delta,video_centered_p_two_sided,leave_one_video_out_min_delta,leave_one_video_out_max_delta,case_source_sampling_rate_hz,case_analysis_sampling_rate_hz,case_preprocessing_mode,case_feature_cache_version
cosine,within_unit,15,45,0.5636495667703936,0.45016835699331303,0.6835923708712767,0.0001999600079984003,0.0001999600079984003,-0.0003225990227683096,4.979009721878053,4.707427373411977,6.103515625e-05,3.0517578125e-05,0.3547199847757812,-0.20892958199461245,45,630.0,1260.0,WESAD,Cross-subject repeated-measures analysis,1,,,,,,,,,,
cosine,within_unit,30,330,0.021236907822985488,0.0024174178560073833,0.04160018456172825,0.0001999600079984003,0.0001999600079984003,0.0001950979622676112,0.8076591979672675,0.7865898275855127,4.968419671058655e-05,2.4842098355293274e-05,-0.010592788031416906,-0.024951020852054903,330,25048.0,70652.0,CASE,,2,"[0.12318610965650352, 0.09264384018368296, 0.07584891283632536, 0.06061042669608908, 0.04931248568894553, 0.04789926961415497, 0.04418458780866582, 0.03611085743893356]",0.0005998800239952009,-0.0032716382943460535,0.17682317682317683,0.007797107014956736,0.030056699692444035,1000.0,1000.0,full_rate_no_subsampling,independent_v1_case_fullrate_1000hz_v3
cosine,global,7491,7491,0.11720192585760772,0.11091806638216617,0.12375350264525627,0.0001999600079984003,0.0001999600079984003,1.2512273623685355e-06,0.7856223096198345,0.7855436398735526,0.0,0.0,0.10162074411154827,-0.012377001409544272,7491,11422790.0,44684800.0,PTB-XL,One ECG per patient,3,,,,,,,,,,
